ID,quality-score,pixels added through insertion/deletion,total number of changed pixels,pixels total in original,changed pixels as percent of pixels in original,number of pixels in bigger image,changed pixels as percent of pixels in bigger image,insertion-deletion-error,total-number-of-changed-pixels,pixels-total-in-original,changed-pixels-as-percent-of-pixels-in-original,number-of-pixels-in-bigger-image,changed-pixels-as-percent-of-pixels-in-bigger-image,count,shifts total,shiftsToTop,shiftsToTopRight,shiftsToRight,shiftsToBottomRight,shiftsToBottom,shiftsToBottomLeft,shiftsToLeft,shiftsToTopLeft,small shifts total,small shiftsToTop,small shiftsToTopRight,small shiftsToRight,small shiftsToBottomRight,small shiftsToBottom,small shiftsToBottomLeft,small shiftsToLeft,small shiftsToTopLeft,big shifts total,big shiftsToTop,big shiftsToTopRight,big shiftsToRight,big shiftsToBottomRight,big shiftsToBottom,big shiftsToBottomLeft,big shiftsToLeft,big shiftsToTopLeft
120,2,0,225399,9764168,2.3084302,9764168,2.3084302,0,225399,9764168,2.3084302,9764168,2.3084302,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2,0,429947,5235878,8.211555,5235878,8.211555,0,429941,5235878,8.21144,5235878,8.21144,351,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
124,1,0,13070,1109192,1.1783352,1109192,1.1783352,0,13070,1109192,1.1783352,1109192,1.1783352,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1,0,13089,1109192,1.1800482,1109192,1.1800482,0,13089,1109192,1.1800482,1109192,1.1800482,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2,1124218,2575701,14867544,17.32432,14867544,17.32432,0,1760208,14867544,11.839266,14867544,11.839266,3279,200,194,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,200,194,0,0,0,6,0,0,0
128,1,0,12387,1109192,1.1167588,1109192,1.1167588,0,12387,1109192,1.1167588,1109192,1.1167588,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2,0,317132,5692122,5.5714197,5692122,5.5714197,0,317132,5692122,5.5714197,5692122,5.5714197,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2,0,553051,2917776,18.95454,2917776,18.95454,0,451048,2917776,15.458623,2917776,15.458623,697,48,47,0,0,0,0,0,0,1,48,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,1,13660,312634,1671984,18.698385,1685644,18.546858,0,267437,1671984,15.995189,1671984,15.995189,342,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0
133,2,0,261286,3621266,7.215322,3621266,7.215322,0,261286,3621266,7.215322,3621266,7.215322,224,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
134,2,0,24932,2195162,1.1357704,2195162,1.1357704,0,24932,2195162,1.1357704,2195162,1.1357704,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2,0,513958,5966688,8.6137905,5966688,8.6137905,0,513958,5966688,8.6137905,5966688,8.6137905,2494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1,0,638876,6170222,10.354181,6170222,10.354181,0,638876,6170222,10.354181,6170222,10.354181,2511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2,0,515167,4229136,12.181377,4229136,12.181377,0,515167,4229136,12.181377,4229136,12.181377,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2,0,514943,5565084,9.253104,5565084,9.253104,0,514943,5565084,9.253104,5565084,9.253104,2479,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
139,1,0,0,3405438,0.0,3405438,0.0,0,0,3405438,0.0,3405438,0.0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2,575086,2290189,6702962,34.16682,6702962,34.16682,0,2129469,6702962,31.769073,6702962,31.769073,381,10,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,7,0,0,0
142,1,0,219287,12462018,1.7596428,12462018,1.7596428,0,221912,12462018,1.7807068,12462018,1.7807068,3323,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
